Date, Close
4/1/14,479.31229068600004
4/2/14,439.626726544
4/3/14,449.53955801
4/4/14,451.900550232
4/5/14,463.62556298400006
4/6/14,457.883594364
4/7/14,448.95518037
4/8/14,453.33637541999997
4/9/14,443.06191353799994
4/10/14,363.851086082
4/11/14,423.4131448
4/12/14,423.368963092
4/13/14,416.86460415399995
4/14/14,459.09800582400004
4/15/14,522.29491627
4/16/14,527.687720992
4/17/14,498.366678046
4/18/14,482.26565610000006
4/19/14,504.842390182
4/20/14,500.39539342999996
4/21/14,497.251879218
4/22/14,489.99280993799994
4/23/14,492.0000000000001
4/24/14,502.220952572
4/25/14,466.88685158400006
4/26/14,461.04532600000005
4/27/14,434.374768044
4/28/14,442.82037402
4/29/14,448.0
4/30/14,448.89941997000005
5/1/14,460.70126204400003
5/2/14,454.35562384599996
5/3/14,439.87207680600005
5/4/14,437.933060358
5/5/14,433.0
5/6/14,428.01000000000005
5/7/14,440.92028681400006
5/8/14,439.0813533279999
5/9/14,451.468934602
5/10/14,456.543988148
5/11/14,439.14571257999995
5/12/14,442.46349
5/13/14,439.10721898599996
5/14/14,445.75451883200003
5/15/14,446.33672478999995
5/16/14,447.269647738
5/17/14,450.0057898
5/18/14,446.898
5/19/14,448.17908049199997
5/20/14,489.19391193599995
5/21/14,493.694430672
5/22/14,529.49782271
5/23/14,523.491528154
5/24/14,528.214489126
5/25/14,573.07334608
5/26/14,583.558250216
5/27/14,573.185524618
5/28/14,580.266611644
5/29/14,570.35
5/30/14,621.18
5/31/14,627.3743539159999
6/1/14,629.8553311400001
6/2/14,662.0855888839999
6/3/14,669.938043516
6/4/14,642.357380702
6/5/14,661.48
6/6/14,649.0938278240001
6/7/14,657.122319458
6/8/14,657.9504511279999
6/9/14,648.3175507240001
6/10/14,648.549935972
6/11/14,622.5026906339999
6/12/14,571.006454714
6/13/14,591.983880914
6/14/14,568.1956108239999
6/15/14,590.40657709
6/16/14,586.980456142
6/17/14,606.443230048
6/18/14,607.0
6/19/14,593.11789317
6/20/14,588.950932812
6/21/14,589.036790108
6/22/14,600.0404249320001
6/23/14,588.193980926
6/24/14,573.3281355759999
6/25/14,560.4947890579999
6/26/14,579.622750878
6/27/14,599.929629306
6/28/14,590.5955207659999
6/29/14,599.89
6/30/14,638.68650652
7/1/14,639.157792748
7/2/14,650.071232986
7/3/14,646.6670635520001
7/4/14,627.258726514
7/5/14,630.747663504
7/6/14,631.4238304700001
7/7/14,622.774120722
7/8/14,624.2982841780001
7/9/14,621.8734082320001
7/10/14,616.775924134
7/11/14,634.129679252
7/12/14,636.46644725
7/13/14,630.5449909639999
7/14/14,619.701223542
7/15/14,623.5592835140001
7/16/14,615.9106732139999
7/17/14,623.7643585440001
7/18/14,631.42881345
7/19/14,629.726
7/20/14,625.846605424
7/21/14,621.830136434
7/22/14,619.567647252
7/23/14,619.926984708
7/24/14,603.820880232
7/25/14,602.8812411219999
7/26/14,595.95700884
7/27/14,591.9597686699999
7/28/14,589.3779206380001
7/29/14,585.1045461199999
7/30/14,563.3470577280001
7/31/14,582.037732788
8/1/14,598.2
8/2/14,589.306
8/3/14,586.489508506
8/4/14,588.479331236
8/5/14,580.340990122
8/6/14,582.416533308
8/7/14,584.81249954
8/8/14,588.78812401
8/9/14,589.242055856
8/10/14,590.785817632
8/11/14,573.9565111500001
8/12/14,567.831212848
8/13/14,549.790349374
8/14/14,507.38701780400004
8/15/14,501.237741262
8/16/14,522.748127092
8/17/14,498.22564087800004
8/18/14,473.215708716
8/19/14,491.00693467
8/20/14,518.0240521100001
8/21/14,520.3913133
8/22/14,514.794876152
8/23/14,496.190259712
8/24/14,507.644099696
8/25/14,503.1851232
8/26/14,513.621734654
8/27/14,511.792230472
8/28/14,506.53819895799995
8/29/14,509.04553304800004
8/30/14,501.001790512
8/31/14,478.87886742800004
9/1/14,475.34660947400005
9/2/14,473.803368534
9/3/14,474.54419272800004
9/4/14,488.60745904
9/5/14,477.642145722
9/6/14,479.74170882
9/7/14,476.11974577
9/8/14,468.030480732
9/9/14,473.375732486
9/10/14,477.60737498399993
9/11/14,477.41388296800005
9/12/14,474.19739259
9/13/14,477.127472342
9/14/14,474.606315074
9/15/14,469.57152418
9/16/14,463.2017233959999
